FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,B6,FLL,1550,1730,100,1958,132,208,740
1/1/2018,B6,MCO,1715,1809,54,2124,66,195,1065
1/1/2018,B6,TPA,1227,1222,-5,1356,10,94,273
1/1/2018,B6,MCO,2245,2315,30,49,51,94,273
1/1/2018,B6,ORD,700,700,0,832,-31,152,867
1/1/2018,B6,FLL,1944,1946,2,2252,-7,126,867
1/1/2018,B6,FLL,536,533,-3,717,18,104,209
1/1/2018,B6,FLL,900,855,-5,1016,-5,81,209
1/1/2018,B6,DTW,1140,1157,17,1313,19,76,187
1/1/2018,B6,CLE,1229,1238,9,1337,3,59,187
1/1/2018,B6,MCO,1458,1618,80,1953,106,215,1073
1/1/2018,B6,BOS,1134,1244,70,1536,78,172,1073
1/1/2018,B6,LAX,847,1034,107,1410,114,216,1197
1/1/2018,B6,DEN,1436,1518,42,1811,29,173,1197
1/1/2018,B6,LAX,710,1021,191,1339,189,378,2475
1/1/2018,B6,ORD,705,700,-5,1513,-7,313,2475
1/1/2018,B6,MSP,1427,1503,36,1621,33,78,369
1/1/2018,B6,TPA,1935,2131,116,101,153,210,937
1/1/2018,B6,MCO,1855,2144,169,1,146,137,937
1/1/2018,B6,BOS,1430,1454,24,1734,18,160,1074
1/1/2018,B6,DFW,1837,1943,66,2212,42,329,2218
1/1/2018,B6,PIT,2220,2305,45,632,27,267,2218
1/1/2018,B6,FLL,1920,1943,23,2310,1,327,2153
1/1/2018,B6,BWI,2248,2243,-5,508,-12,265,2153
1/1/2018,B6,LAS,635,626,-9,736,-22,70,444
1/1/2018,B6,FLL,849,848,-1,1005,-1,77,353
1/1/2018,B6,PBG,650,710,20,820,11,70,353
1/1/2018,B6,ATL,1830,1836,6,2131,-15,355,2378
1/1/2018,B6,MSY,2258,2245,-13,635,-24,290,2378
1/1/2018,B6,BDL,1359,1423,24,1741,41,198,1028
1/1/2018,B6,LAS,1418,1440,22,1603,21,83,413
1/1/2018,B6,ORD,1200,1232,32,1404,22,92,413
1/1/2018,B6,FLL,1104,1055,-9,1210,-15,75,280
1/1/2018,B6,BOS,1815,1849,34,2158,3,369,2521
1/1/2018,B6,LAS,2305,2304,-1,728,11,324,2521
1/1/2018,B6,DFW,1102,1101,-1,1407,0,186,1041
1/1/2018,B6,FLL,1447,1455,8,1718,-11,143,1041
1/1/2018,B6,DFW,1738,1730,-8,2120,-1,230,1249
1/1/2018,B6,LAS,2059,2122,23,16,-23,354,2576
1/1/2018,B6,LGA,2211,2205,-6,639,8,334,2576
1/1/2018,B6,DEN,1701,1752,51,2126,76,214,1237
1/1/2018,B6,FLL,1335,1438,63,1739,61,241,1666
